,M
1537,-0.043240286
1538,-0.0711549
1539,-0.16146688
1540,-0.09195402
1541,0.07772304
1542,-0.093596056
1543,-0.24192666
1544,-0.066776134
1545,0.12588944
1546,0.1603722
1547,0.12862617
1548,0.24904214
1549,0.3087028
1550,0.26819924
1551,0.24630542
1552,0.24083197
1553,0.1182266
1554,0.0021893815
1555,0.013136289
1556,-0.0591133
1557,0.04269294
1558,0.17679256
1559,0.09469075
1560,0.024630541
1561,0.035030104
1562,-0.031198686
1563,-0.15380405
1564,-0.32293376
1565,-0.2364532
1566,-0.08648057
1567,-0.16912971
1568,-0.2616311
1569,-0.14176245
1570,-0.018609744
1571,0.013683635
1572,0.04871374
